cityid,city,county
442,Dos Rios,Mendocino
443,Douglas City,Trinity
444,Douglas Flat,Calaveras
445,Downey,Los Angeles
446,Downieville,Sierra
447,Doyle,Lassen
448,Drytown,Amador
449,Duarte,Los Angeles
450,Dublin,Alameda
451,Ducor,Tulare
452,Dulzura,San Diego
453,Duncans Mills,Sonoma
454,Dunlap,Fresno
455,Dunnigan,Yolo
456,Dunsmuir,Siskiyou
457,Durham,Butte
458,Dutch Flat,Placer
459,Eagle Mountain,Riverside
460,Eagle Rock,Los Angeles
461,Eagleville,Modoc
462,Earlimart,Tulare
463,Earp,San Bernardino
464,East Highlands,San Bernardino
465,East Irvine,Orange
466,East Los Angeles,Los Angeles
467,East Lynwood,Los Angeles
468,East Nicolaus,Sutter
469,East Palo Alto,San Mateo
470,East Porterville,Tulare
471,East Rancho Dominguez,Los Angeles
472,East San Pedro,Los Angeles
473,Eastgate,Los Angeles
474,Easton,Fresno
475,Eastside,San Bernardino
476,Eastvale,Riverside
477,Echo Lake,El Dorado
478,Echo Park,Los Angeles
479,Edgemont,Riverside
480,Edgewood,Siskiyou
481,Edison,Kern
482,Edwards,Kern
483,Edwards A.F.B.,Kern
484,El Cajon,San Diego
485,El Centro,Imperial
486,El Cerrito,Contra Costa
487,El Dorado,El Dorado
488,El Dorado Hills,El Dorado
489,El Granada,San Mateo
490,El Macero,Yolo
491,El Modena,Orange
492,El Monte,Los Angeles
493,El Nido,Merced
494,El Portal,Mariposa
495,El Segundo,Los Angeles
496,El Sobrante,Contra Costa
497,El Toro,Orange
498,El Toro M.C.A.S.,Orange
499,El Verano,Sonoma
500,El Viejo,Stanislaus
501,Eldridge,Sonoma
502,Elizabeth Lake,Los Angeles
503,Elk,Mendocino
504,Elk Creek,Glenn
505,Elk Grove,Sacramento
506,Elmira,Solano
507,Elmwood,Alameda
508,Elverta,Sacramento
509,Emerald Hills,San Mateo
510,Emeryville,Alameda
511,Emigrant Gap,Placer
512,Empire,Stanislaus
513,Encinitas,San Diego
514,Encino,Los Angeles
515,Enterprise,Shasta
516,Escalon,San Joaquin
517,Escondido,San Diego
518,Esparto,Yolo
519,Essex,San Bernardino
520,Etiwanda,San Bernardino
521,Etna,Siskiyou
522,Ettersburg,Humboldt
523,Eureka,Humboldt
524,Exeter,Tulare
525,Fair Oaks,Sacramento
526,Fairfax,Marin
527,Fairfield,Solano
528,Fairmount,Contra Costa
529,Fall River Mills,Shasta
530,Fallbrook,San Diego
531,Fallbrook Junction,San Diego
532,Fallen Leaf,El Dorado
533,Fallon,Marin
534,Fancher,Fresno
535,Farmersville,Tulare
536,Farmington,San Joaquin
537,Fawnskin,San Bernardino
538,Feather Falls,Butte
539,Fellows,Kern
540,Felton,Santa Cruz
541,Fenner,San Bernardino
542,Fernbridge,Humboldt
543,Ferndale,Humboldt
544,Fiddletown,Amador
545,Fields Landing,Humboldt
546,Fig Garden Village,Fresno
547,Fillmore,Ventura
548,Finley,Lake
549,Firebaugh,Fresno
550,Fish Camp,Mariposa
551,Five Points,Fresno
552,Flinn Springs,San Diego
553,Flintridge,Los Angeles
554,Florence,Los Angeles
555,Floriston,Nevada
556,Flournoy,Tehama
557,Folsom,Sacramento
558,Fontana,San Bernardino
559,Foothill Ranch,Orange
560,Forbestown,Butte
561,Forest Falls,San Bernardino
562,Forest Glen,Trinity
563,Forest Knolls,Marin
564,Forest Park,Los Angeles
565,Forest Ranch,Butte
566,Foresthill,Placer
